word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
abase,v.,"to humiliate, degrade","After being overthrown and abased, the deposed leader offered to bow down to his conqueror.","After being overthrown and _____d, the deposed leader offered to bow down to his conqueror.",,/əˈbeɪs/; /əˈbeɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/abase-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/abase-us.mp3,verb,"To lower, as in condition in life, office, rank, etc., so as to cause pain or hurt feelings; to degrade, to depress, to humble, to humiliate.; To lower physically; to depress; to cast or throw down; to stoop.; To lower in value, in particular by altering the content of alloys in coins; to debase.",,
abate,v.,"to reduce, lessen","The rain poured down for a while, then abated.","The rain poured down for a while, then _____d.",/əˈbeɪt/,/əˈbeɪt/; /əˈbeɪt/,,noun,"An Italian abbot, or other member of the clergy.",,
abdicate,v.,"to give up a position, usually one of leadership","When he realized that the revolutionaries would surely win, the king abdicated his throne.","When he realized that the revolutionaries would surely win, the king ________d his throne.",/ˈæb.dɪˌkeɪt/,/ˈæb.dɪˌkeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/abdicate-us.mp3,verb,"To disclaim and expel from the family, as a father his child; to disown; to disinherit.; To formally separate oneself from or to divest oneself of.; To depose.; To reject; to cast off; to discard.; To surrender, renounce or relinquish, as sovereign power; to withdraw definitely from filling or exercising, as a high office, station, dignity; to fail to fulfill responsibility for.; To relinquish or renounce a throne, or other high office or dignity; to renounce sovereignty.",,
abduct,v.,"to kidnap, take by force",The evildoers abducted the fairy princess from her happy home.,The evildoers ______ed the fairy princess from her happy home.,/æbˈdəkt/,/æbˈdəkt/,https://api.dictionaryapi.dev/media/pronunciations/en/abduct-us.mp3,verb,"To take away by force; to carry away (a human being) wrongfully and usually with violence or deception; to kidnap.; To draw away, as a limb or other part, from the median axis of the body.",,
aberration,n.,something that differs from the norm,"In 1918, the Boston Red Sox won the World Series, but the success turned out to be an aberration, and the Red Sox have not won a World Series since.","In 1918, the Boston Red Sox won the World Series, but the success turned out to be an __________, and the Red Sox have not won a World Series since.",/ˌæb.əˈɹeɪ.ʃn̩/,/ˌæb.əˈɹeɪ.ʃn̩/,https://api.dictionaryapi.dev/media/pronunciations/en/aberration-us.mp3,noun,"The act of wandering; deviation from truth, moral rectitude; abnormal; divergence from the straight, correct, proper, normal, or from the natural state.; The convergence to different foci, by a lens or mirror, of rays of light emanating from one and the same point, or the deviation of such rays from a single focus; a defect in a focusing mechanism that prevents the intended focal point.; A small periodical change of position in the stars and other heavenly bodies, due to the combined effect of the motion of light and the motion of the observer.; A partial alienation of reason.; A mental disorder, especially one of a minor or temporary character.; Atypical development or structure; deviation from the normal type; an aberrant organ.; A deviation of a tissue, organ or mental functions from what is considered to be within the normal range.",,
abet,v.,"to aid, help, encourage  SAT Vocabulary A",The spy succeeded only because he had a friend on the inside to abet him.,The spy succeeded only because he had a friend on the inside to ____ him.,/əˈbɛt/,/əˈbɛt/,https://api.dictionaryapi.dev/media/pronunciations/en/abet-us.mp3,noun; verb,"Fraud or cunning.; An act of abetting; of helping; of giving aid.; To urge on, stimulate (a person to do) something desirable.; To incite; to assist or encourage by aid or countenance in crime.; To support, countenance, maintain, uphold, or aid (any good cause, opinion, or action); to maintain.; To back up one's forecast of a doubtful issue, by staking money, etc., to bet.",,
abhor,v.,"to hate, detest  abide 1.  to put up with  2.  to remain","Because he always wound up kicking himself in the head when he tried to play soccer, Oswald began to abhor the sport.","Because he always wound up kicking himself in the head when he tried to play soccer, Oswald began to _____ the sport.",,/əbˈhɔː(ɹ)/; /æbˈhɔɹ/,https://api.dictionaryapi.dev/media/pronunciations/en/abhor-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/abhor-uk.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/abhor-us.mp3,verb,"To regard with horror or detestation; to shrink back with shuddering from; to feel excessive repugnance toward; to detest to extremity; to loathe.; To fill with horror or disgust.; To turn aside or avoid; to keep away from; to reject.; (canon law) To protest against; to reject solemnly.; To shrink back with horror, disgust, or dislike; to be contrary or averse; construed with from.; Differ entirely from.",,
abject,adj.,"wretched, pitiful","After losing all her money, falling into a puddle, and breaking her ankle, Eloise was abject.","After losing all her money, falling into a puddle, and breaking her ankle, Eloise was ______.",/ˈæb.d͡ʒɛkt/,/ˈæb.d͡ʒɛkt/,https://api.dictionaryapi.dev/media/pronunciations/en/abject-uk.mp3,verb,"To cast off or out; to reject.; To cast down; hence, to abase; to degrade; to lower; to debase.",,
abjure,v.,"to reject, renounce","To prove his honesty, the President abjured the evil policies of his wicked predecessor.","To prove his honesty, the President ______d the evil policies of his wicked predecessor.",/æbˈdʒʊɹ/,/æbˈdʒʊɹ/,https://api.dictionaryapi.dev/media/pronunciations/en/abjure-us.mp3,verb,To renounce upon oath; to forswear; to disavow.; To cause one to renounce or recant.; To reject with solemnity; to abandon forever; to repudiate; to disclaim.; To abstain from; to avoid; to shun.,,
abnegation,n.,denial of comfort to oneself,"The holy man slept on the floor, took only cold showers, and generally followed other practices of abnegation.","The holy man slept on the floor, took only cold showers, and generally followed other practices of __________.",/ˌæbnəˈɡeɪʃən/,/ˌæbnəˈɡeɪʃən/,,noun,A denial; a renunciation; denial of desire or self-interest.,,
